"quarter","molecule","product_type","brand","suffix","company","is_sb","is_orig","hcpcs_code","desc","payment_limit","addon_pct","ira_qualifying","asp_per_unit","asp","notes"
"2024 Q1 (Jan)","Infliximab","Biosimilar","Avsola","infliximab-axxq","Amgen","False","False","Q5121","Inj. avsola, 10 mg","25.555","8","True","23.127755","231.28","8% of reference add-on applied"
"2024 Q2 (Apr)","Infliximab","Biosimilar","Avsola","infliximab-axxq","Amgen","False","False","Q5121","Inj. avsola, 10 mg","24.373","8","True","21.982736","219.83","8% of reference add-on applied"
"2024 Q3 (Jul)","Infliximab","Biosimilar","Avsola","infliximab-axxq","Amgen","False","False","Q5121","Inj. avsola, 10 mg","21.889","8","True","19.496019","194.96","8% of reference add-on applied"
"2024 Q4 (Oct)","Infliximab","Biosimilar","Avsola","infliximab-axxq","Amgen","False","False","Q5121","Inj. avsola, 10 mg","21.29","8","True","18.858075","188.58","8% of reference add-on applied"
"2025 Q1 (Jan)","Infliximab","Biosimilar","Avsola","infliximab-axxq","Amgen","False","False","Q5121","Inj. avsola, 10 mg","19.825","8","True","17.521226","175.21","8% of reference add-on applied"
"2025 Q3 (Jul)","Infliximab","Biosimilar","Avsola","infliximab-axxq","Amgen","False","False","Q5121","Inj. avsola, 10 mg","20.886","8","True","18.532868","185.33","8% of reference add-on applied"
"2025 Q4 (Oct)","Infliximab","Biosimilar","Avsola","infliximab-axxq","Amgen","False","False","Q5121","Inj. avsola, 10 mg","20.405","8","True","18.058585","180.59","8% of reference add-on applied"
"2026 Q1 (Jan)","Infliximab","Biosimilar","Avsola","infliximab-axxq","Amgen","False","False","Q5121","Inj. avsola, 10 mg","23.811","8","True","21.363981","213.64","8% of reference add-on applied"
"2026 Q2 (Apr)","Infliximab","Biosimilar","Avsola","infliximab-axxq","Amgen","False","False","Q5121","Inj. avsola, 10 mg","28.04","8","True","25.697283","256.97","8% of reference add-on applied"
"2025 Q1 (Jan)","Infliximab","Biosimilar","Zymfentra","infliximab-dyyb SC","Celltrion","False","False","J1748","Inj, zymfentra, 10 mg","261.226","6","False","259.49817","2594.98","Added January 2025"
"2021 Q1 (Jan)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","322.853","6","False","304.578302","1522.89",""
"2021 Q2 (Apr)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","312.263","6","False","294.587736","1472.94",""
"2021 Q3 (Jul)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","306.928","6","False","289.554717","1447.77",""
"2021 Q4 (Oct)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","318.472","6","False","300.445283","1502.23",""
"2022 Q1 (Jan)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","307.198","6","False","289.809434","1449.05",""
"2022 Q2 (Apr)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","281.882","6","False","265.926415","1329.63",""
